date,trend_1,trend_2,trend_3,trend_4,trend_5
2023-02-22 18:18:32.602449,Subi Suresh,Eintracht Frankfurt vs Napoli,Sarah Taylor,Japan,Rafael Nadal
2023-02-23 18:18:50.735221,IND W vs AUS W,Man United vs Barcelona,Pawan Khera,Veera Simha Reddy OTT,Adenovirus
2023-02-24 18:18:23.732772,Sergio Ramos,Joe Root,Juventus,Pawan Khera statement,Tourette syndrome
2023-02-25 18:17:04.943928,Leicester City vs Arsenal,Real Madrid vs atl%C3%A9tico Madrid,Fulham vs Wolves,Sainik School Result 2023,UEFA Europa League
2023-02-26 18:17:05.546794,Man United vs Newcastle,Aus vs SA,Tottenham vs Chelsea,Crystal Palace vs Liverpool,Manish Sisodia
2023-02-27 18:18:42.905922,NEET PG 2023,Ashwani Gujral,Nokia,PM KISAN release date 13th installment,Osmania university
2023-02-28 18:18:47.834490,SA vs WI,NZ vs ENG,Vedanta share Price,Nepal,FCI Result
2023-03-01 18:18:41.256079,IND vs AUS,BAN vs ENG,Sports,Umesh Yadav,Vivo V27 Pro
2023-03-02 18:21:48.661399,Election Results,Election Commission of India,Erode East byelection Result,Liverpool vs Wolves,Sushmita Sen
2023-03-03 18:18:53.979161,Eng vs Ban,CTET Result 2023,Hdfc bank,Attack on Titan season 4 part 3,Credit card
2023-03-04 18:16:48.713083,WPL 2023,Arsenal vs Bournemouth,Chelsea vs Leeds United,Napoli vs Lazio,Wolves vs Tottenham
2023-03-05 18:16:51.238785,RCB vs DC,PSG,UFC,Nottm Forest vs Everton,Ranbir Kapoor
2023-03-06 18:19:05.348668,Liverpool vs Man United,Real Betis vs Real Madrid,Amitabh Bachchan,MI vs RCB,Pakistani actor Qavi Khan
2023-03-07 18:18:42.601247,Mumbai City vs Bengaluru,Bayern vs PSG,UEFA Champions League,Chelsea vs Dortmund,Thandai
2023-03-08 18:18:56.367323,Holi Wishes in Hindi,Tu Jhoothi Main Makkar,Valentine's Day,Logo,%E0%B0%85%E0%B0%82%E0%B0%A4%E0%B0%B0%E0%B1%8D%E0%B0%9C%E0%B0%BE%E0%B0%A4%E0%B1%80%E0%B0%AF %E0%B0%AE%E0%B0%B9%E0%B0%BF%E0%B0%B3%E0%B0%BE %E0%B0%A6%E0%B0%BF%E0%B0%A8%E0%B1%8B%E0%B0%A4%E0%B1%8D%E0%B0%B8%E0%B0%B5%E0%B0%82
2023-03-09 18:17:53.420180,Aus vs Ind,Satish Kaushik,England vs Bangladesh,ATK Mohun Bagan vs Hyderabad,KL Rahul
2023-03-10 18:16:45.738399,Al-Nassr,H3N2,Rana Naidu,Ritesh Agarwal,Silicon Valley Bank
2023-03-11 18:16:00.853464,Bournemouth vs Liverpool,Real Madrid vs Espanyol,Leicester City vs Chelsea,Virat Kohli,Rohit Sharma
2023-03-12 18:16:07.369631,Shreyas Iyer,Fulham vs Arsenal,Mumbai City FC,India Post GDS Result 2023,Bangladesh vs England
2023-03-13 18:17:09.790859,NZ vs SL,RRR,The Elephant Whisperers,Brendan Fraser,WTC Final 2023
2023-03-14 18:21:21.298978,NEET PG 2023 Result,Man City vs RB Leipzig,Pi Day,Albert Einstein,AP SSC Hall Tickets 2023
2023-03-15 18:18:07.670544,GPT-4,Credit Suisse,Alia Bhatt,Bihar Board 12th Result 2023,Sameer Khakhar
2023-03-16 18:17:55.160815,Worker,Shadow and Bone,Aman Dhaliwal,Social Science,SA vs WI ODI
2023-03-17 18:16:28.514810,IND vs AUS,IND vs AUS Live,Virat Kohli,Zwigato,World Sleep Day
2023-03-18 18:16:12.986626,BAN vs IRE,Bihar Board 12th Result 2023,Amritpal Singh,Lance Reddick John Wick,Southampton vs Tottenham
2023-03-19 18:16:26.886965,Mario Molina,Al Nassr,Arsenal vs Crystal Palace,FA Cup,Man City
2023-03-20 18:18:04.929545,BAN vs IRE,PSG,Credit Suisse,Ligue 1,Man Utd
2023-03-21 18:17:08.242058,Nowruz,Bihar School Examination Board,Earthquake,IND vs AUS 3rd ODI,WPL Points Table
2023-03-22 18:16:57.647966,Sports,Suryakumar Yadav,ICC,Das Ka Dhamki,World Water Day
2023-03-23 18:16:59.637712,Ire vs Ban,Rahul Gandhi,John Wick 4,Argentina vs Panama,Hindenburg Research
2023-03-24 18:16:56.074015,Kitty O'Neil,Ramadan Mubarak,TNPSC Group 4 Result 2023,TNPSC Group 4 Result,Pradeep Sarkar
2023-03-25 18:15:20.881047,Innocent,SA vs WI T20,Hailey Bieber,Earth Hour 2023,France
2023-03-26 18:15:33.877381,Akanksha Dubey,Morocco vs Brazil,WPL Final,Germany vs Peru,England vs Ukraine
2023-03-27 18:18:57.567481,Pakistan vs Afghanistan,Innocent actor,How to link PAN with Aadhar,Chennai Super Kings,Steve Smith
2023-03-28 18:17:22.004419,How to check PAN link with Aadhar,India vs Kyrgyzstan,TET Paper 2 result,Nashville,Vedanta dividend
2023-03-29 18:22:34.103891,Argentina vs cura%C3%A7ao,Bangladesh vs Ireland,UPI Charges,Germany vs Belgium,Parineeti Chopra
2023-03-30 18:15:34.511993,Dasara movie review,Pathu Thala,IPL 2023 start Date,%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%A8%E0%A4%B5%E0%A4%AE%E0%A5%80,Ponniyin Selvan 2 Trailer
2023-03-31 18:15:29.405529,Bihar Board 10th Result 2023,JioCinema,Cricket,Sports,Bangladesh vs Ireland
2023-04-01 18:14:42.802051,Man City vs Liverpool,Andrew Tate,Arsenal vs Leeds United,Delhi Capitals,Gigi Hadid
2023-04-02 18:14:26.527204,South Africa vs Netherlands,Real Madrid vs Valladolid,Salim Durani,Zendaya,Palm Sunday 2023
2023-04-03 18:15:52.354980,SBI,PSG vs Lyon,Mahavir Jayanti 2023,IPL Points Table,PSG
2023-04-04 18:14:18.946384,DC vs GT,Twitter,OnePlus Nord CE 3 Lite,Everton vs Tottenham,Robert Downey Jr
2023-04-05 18:18:49.262352,RR vs PBKS,Al Nassr,UP Board Result 2023,Bhanuka Rajapaksa,Rohit Sharma
2023-04-06 18:15:54.887266,Hanuman Jayanti 2023,Hanuman Chalisa,Good Friday,Man United vs Brentford,Samastha Result 2023
2023-04-07 18:15:19.253681,SRH vs LSG,Pushpa 2,Ravanasura Review,Share Market Holiday,Pope Exorcist
2023-04-08 18:14:46.769565,RR vs DC,SSC GD Result 2023,Man United vs Everton,Manish Pandey,Chelsea
2023-04-09 18:14:50.302012,GT vs KKR,PBKS vs SRH,Easter,Points Table IPL 2023,Real Madrid vs Villarreal
2023-04-10 18:16:01.549660,Al Nassr,Siblings Day,Dalai Lama,Tata Motors share,Elon Musk Twitter
2023-04-11 18:15:10.172420,DC vs MI,Barcelona vs Girona,Millie Bobby Brown,Champions League,OnePlus Nord CE 3 Lite 5G
2023-04-12 18:15:46.504907,Axar Patel,Benfica vs Inter,Keshub Mahindra,The Marvels,Kerala Blasters
2023-04-13 18:16:06.064536,GT vs PBKS,Atiq Ahmed,UGC NET Result 2023,Milan vs Napoli,Bloody Daddy Shahid Kapoor
2023-04-14 18:15:43.953868,Europa League,Eden Gardens,C%C3%A9line Dion,Shakuntalam review,Mrs Undercover
